Ordered By Time In (ms)

Method Name                                                     Calls       Time In   Time In Avg      Time Tot  Time Tot Avg      Calls In  Calls In Avg     Calls Tot Calls Tot Avg
API精灵.Form1.richTextBox1_MouseEnter                                 0             0             0             0             0             0             0             0             0
API精灵.Form1.dlltext_TextChanged                                     4             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.Clone                                0             0             0             0             0             0             0             0             0
API精灵.Form1.fun_update                                              0             0             0             0             0             0             0             0             0
API精灵.Form1.mytips                                                  0             0             0             0             0             0             0             0             0
API精灵.Form1.mysearch_MouseDown                                      1             0             0             0             0             0             0             0             0
API精灵.Form1.initdatabase                                            0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_SelectedIndexChanged                            0             0             0             0             0             0             0             0             0
API精灵.Form1.memo_update                                             0             0             0             0             0             0             0             0             0
API精灵.Form1.mysplip                                                 0             0             0             0             0             0             0             0             0
API精灵.Form1.oleDbConnection1_InfoMessage                            0             0             0             0             0             0             0             0             0
API精灵.Form1.isnull                                                  0             0             0             0             0             0             0             0             0
API精灵.Form1.mat_text_MouseDown                                      0             0             0             0             0             0             0             0             0
API精灵.Form1.select_type_SelectedIndexChanged                        0             0             0             0             0             0             0             0             0
API精灵.Form1.timer1_Tick                                             0             0             0             0             0             0             0             0             0
API精灵.Form1.button2_Click                                           0             0             0             0             0             0             0             0             0
API精灵.Form1.menuItem1_Click                                         0             0             0             0             0             0             0             0             0
API精灵.Form1.tiplist_MouseUp                                         2             0             0             0             0             0             0             0             0
API精灵.Form1.e_add_CheckedChanged                                    0             0             0             0             0             0             0             0             0
API精灵.Form1.mykeyword1                                              0             0             0             0             0             0             0             0             0
API精灵.Form1.isenable                                                0             0             0             0             0             0             0             0             0
API精灵.Form1.e_modify_CheckedChanged                                 0             0             0             0             0             0             0             0             0
API精灵.Form1.button4_Click                                           1             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.IsFun_dllNull                              0             0             0             0             0             0             0             0             0
API精灵.Form1.Form1_Load                                              0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.SetFun_dllNull                             0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.RemovewinapiRow                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.set_Id                                     0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.get_Id                                     0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent.get_Row                         0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiDataTable.OnRowDeleting                        0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow..ctor                                      0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.set_Fun_dll                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRow.get_Fun_dll                                0             0             0             0             0             0             0             0             0
API精灵.DataSet1.winapiRowChangeEvent.get_Action                      0             0             0             0             0             0             0             0             0
